,Job Title,Job Company,Job Location,Company Rating,Company Rating Numbers,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue,Level,Minimum,Maximum,Currency,Category,Company ,Role
37,Data Scientist,Solvenyle Technologies,"San Francisco, CA",0.0,0,Unknown,0,Unknown,Unknown,Unknown,Unknown,Normal,124800.0,135200.0,USD,Data Science,,Data Science
38,Data Scientist,FocusKPI Inc.,"San Francisco, CA",3.4,0,51 to 200 Employees,0,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),Normal,81000.0,147000.0,USD,Data Science,,Data Science
39,Senior Data Scientist,MasterCard,"San Francisco, CA",4.2,507,10000+ Employees,1966,Company - Public,Financial Transaction Processing,Finance,$5 to $10 billion (USD),Senior,110000.0,204000.0,USD,Data Science,,Data Science
40,"Data Scientist, Analytics - Customer Experience",Twitch,"San Francisco, CA",3.9,229,1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,Normal,99000.0,196000.0,USD,Data Science,,Data Analyst
41,Research Analyst,Mathematica Policy Research,"Oakland, CA",3.8,120,1001 to 5000 Employees,1986,Company - Private,Consulting,Business Services,$100 to $500 million (USD),Normal,60000.0,100000.0,USD,Data Science,,Data Researcher
42,Machine Learning Scientist,Glassdoor,"San Francisco, CA",4.0,188,501 to 1000 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Normal,129000.0,162000.0,USD,Data Science,,Machine Learning
43,Climate Data Scientist,ClimateAI,"San Francisco, CA",5.0,0,1 to 50 Employees,0,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,Normal,79000.0,157000.0,USD,Data Science,,Data Science
44,"Data Scientist, Impact Navigator",Skai,"San Francisco, CA",5.0,0,1 to 50 Employees,0,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,Normal,61000.0,134000.0,USD,Data Science,,Data Science
45,Data Scientist I,Levi Strauss & Co.,"San Francisco, CA",3.7,305,10000+ Employees,1853,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$2 to $5 billion (USD),Normal,90000.0,154000.0,USD,Data Science,,Data Science
46,"Data Scientist, Analytics - Customer Experience","Twitch Interactive, Inc.","San Francisco, CA",3.7,4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),Normal,97000.0,189000.0,USD,Data Science,,Data Analyst
